node	description	type	module	module_descr	pathway	pathway_descr	node_type
R12180	Echinenone <=> Canthaxanthin	NA	NA	NA	NA	NA	reaction
C08592	Echinenone	NA	NA	NA	NA	NA	compound
R12181	cis-trans-Nepetalactol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Iridotrial + [Oxidized NADPH---hemoprotein reductase] + H2O	NA	NA	NA	map01100	Metabolic pathways	reaction
C09804	cis-trans-Nepetalactol	NA	NA	NA	NA	NA	compound
C03889	Palmitoylphosphatidylcholine	NA	NA	NA	NA	NA	compound
R12187	1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine:lipid-IVA palmitoyltransferase	NA	NA	NA	NA	NA	reaction
C04233	2-Acyl-sn-glycero-3-phosphocholine	NA	NA	NA	NA	NA	compound
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	NA	NA	NA	NA	NA	compound
C21982	Lipid IVB	NA	NA	NA	NA	NA	compound
C08606	Neoxanthin	NA	NA	NA	NA	NA	compound
R06948	violaxanthin-neoxanthin isomerase (epoxide-opening)	NA	M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	map01100	Metabolic pathways	reaction
C08614	Violaxanthin	NA	NA	NA	NA	NA	compound
C00025	L-Glutamate	Peptides,Hormones and transmitters	NA	NA	NA	NA	compound
R10094	2'-deamino-2'-hydroxyneamine:2-oxoglutarate aminotransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00026	2-Oxoglutarate	Organic acids	NA	NA	NA	NA	compound
C20350	2'-Deamino-2'-hydroxyneamine	NA	NA	NA	NA	NA	compound
C20351	2'-Deamino-2'-hydroxy-6'-dehydroparomamine	NA	NA	NA	NA	NA	compound
R11981	ent-cassa-12,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ent-3beta-hydroxycassa-12,15-dien-2-one forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C18226	ent-Cassa-12,15-diene	NA	NA	NA	NA	NA	compound
C21826	ent-3beta-Hydroxycassa-12,15-dien-2-one	NA	NA	NA	NA	NA	compound
R11980	9beta-pimara7,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (9beta-pimara-7,15-diene-3beta-ol forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C18225	9beta-Pimara-7,15-diene	NA	NA	NA	NA	NA	compound
C21825	9beta-Pimara-7,15-diene-3beta-ol	NA	NA	NA	NA	NA	compound
R11987	11-hydroxyferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11,20-dihydroxyferruginol forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C21796	11-Hydroxyferruginol	NA	NA	NA	NA	NA	compound
C21830	11,20-Dihydroxyferruginol	NA	NA	NA	NA	NA	compound
R11989	ferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C09092	Ferruginol	NA	NA	NA	NA	NA	compound
C09163	Pisiferic acid	NA	NA	NA	NA	NA	compound
R11988	sugiol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxysugiol forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C21822	Sugiol	NA	NA	NA	NA	NA	compound
C21823	11-Hydroxysugiol	NA	NA	NA	NA	NA	compound
C21124	IPA imine	NA	NA	NA	NA	NA	compound
R11131	2 IPA imine <=> Protodeoxyviolaceinic acid	NA	M00808	Violacein biosynthesis, tryptophan => violacein	map01130	Biosynthesis of antibiotics	reaction
C21131	Protodeoxyviolaceinic acid	NA	NA	NA	NA	NA	compound
R10095	trans,octacis-decaprenylphospho-beta-D-ribofuranose 5-phosphate:diphosphate phospho-alpha-D-ribosyltransferase	NA	NA	NA	NA	NA	reaction
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	NA	NA	NA	NA	NA	compound
C02970	Decaprenol phosphate	NA	NA	NA	NA	NA	compound
C20352	trans,octacis-Decaprenylphospho-beta-D-ribofuranose 5-phosphate	NA	NA	NA	NA	NA	compound
R01005	UDPglucose:dolichyl-phosphate beta-D-glucosyltransferase	NA	M00055	N-glycan precursor biosynthesis	map01100	Metabolic pathways	reaction
C00110	Dolichyl phosphate	NA	NA	NA	NA	NA	compound
C01246	Dolichyl beta-D-glucosyl phosphate	NA	NA	NA	NA	NA	compound
R01004	Dolichyl-diphosphate phosphohydrolase	NA	NA	NA	map00510	N-Glycan biosynthesis	reaction
C00009	Orthophosphate	NA	NA	NA	NA	NA	compound
C00621	Dolichyl diphosphate	NA	NA	NA	NA	NA	compound
R01001	L-cystathionine cysteine-lyase (deaminating	NA	M00609	Cysteine biosynthesis, methionine => cysteine	map01100	Metabolic pathways	reaction
C00097	L-Cysteine	Peptides	NA	NA	NA	NA	compound
C00109	2-Oxobutanoate	Organic acids	NA	NA	NA	NA	compound
C02291	L-Cystathionine	NA	NA	NA	NA	NA	compound
C00003	NAD+	Vitamins and Cofactors	NA	NA	NA	NA	compound
R01000	2-hydroxybutyrate:NAD+ oxidoreductase	NA	NA	NA	map00640	Propanoate metabolism	reaction
C00004	NADH	NA	NA	NA	NA	NA	compound
C00080	H+	NA	NA	NA	NA	NA	compound
C05984	2-Hydroxybutanoic acid	NA	NA	NA	NA	NA	compound
C00035	GDP	Nucleic acids	NA	NA	NA	NA	compound
R01009	GDPmannose:dolichyl-phosphate O-beta-D-mannosyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00096	GDP-mannose	NA	NA	NA	NA	NA	compound
C03862	Dolichyl phosphate D-mannose	NA	NA	NA	NA	NA	compound
R03351	CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase	NA	M00063	CMP-KDO biosynthesis	map01100	Metabolic pathways	reaction
C00063	CTP	Nucleic acids,Vitamins and Cofactors	NA	NA	NA	NA	compound
C01187	3-Deoxy-D-manno-octulosonate	Carbohydrates	NA	NA	NA	NA	compound
C04121	CMP-3-deoxy-D-manno-octulosonate	NA	NA	NA	NA	NA	compound
R03350	3-Deoxy-D-manno-octulosonate-8-phosphate 8-phosphohydrolase	NA	M00063	CMP-KDO biosynthesis	map01100	Metabolic pathways	reaction
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate	NA	NA	NA	NA	NA	compound
C01189	Lathosterol	NA	NA	NA	NA	NA	compound
R03353	5alpha-Cholest-7-en-3beta-ol delta7-delta8-isomerase	NA	M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	map01100	Metabolic pathways	reaction
C03845	5alpha-Cholest-8-en-3beta-ol	NA	NA	NA	NA	NA	compound
R03355	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00124	D-Galactose	Carbohydrates	NA	NA	NA	NA	compound
C01190	beta-D-Glucosyl-(1<->1)-ceramide	Lipids	NA	NA	NA	NA	compound
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	Lipids	NA	NA	NA	NA	compound
R03354	UDP-alpha-D-galactose:beta-D-glucosyl-(1<->1)-ceramide 4-beta-D-galactosyltransferase	NA	M00066	Lactosylceramide biosynthesis	map01100	Metabolic pathways	reaction
C00052	UDP-alpha-D-galactose	NA	NA	NA	NA	NA	compound
C00019	S-Adenosyl-L-methionine	Vitamins and Cofactors	NA	NA	NA	NA	compound
R08151	S-adenosyl-L-methionine:juvenile hormone III acid O-methyltransferase	NA	NA	NA	map00981	Insect hormone biosynthesis	reaction
C00021	S-Adenosyl-L-homocysteine	NA	NA	NA	NA	NA	compound
C09694	Juvenile hormone III	NA	NA	NA	NA	NA	compound
C16504	Juvenile hormone III acid	NA	NA	NA	NA	NA	compound
R01267	L-asparagine hydro-lyase (3-cyanoalanine-forming)	NA	NA	NA	map01100	Metabolic pathways	reaction
C00152	L-Asparagine	Peptides	NA	NA	NA	NA	compound
C02512	3-Cyano-L-alanine	NA	NA	NA	NA	NA	compound
R01269	S-Adenosyl-L-methionine:nicotinamide N-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00153	Nicotinamide	Vitamins and Cofactors	NA	NA	NA	NA	compound
C02918	1-Methylnicotinamide	NA	NA	NA	NA	NA	compound
R01268	Nicotinamide amidohydrolase	NA	NA	NA	map01100	Metabolic pathways	reaction
C00253	Nicotinate	Vitamins and Cofactors	NA	NA	NA	NA	compound
C00341	Geranyl diphosphate	NA	NA	NA	NA	NA	compound
R02007	(+)-Bornyl-diphosphate lyase (decyclizing)	NA	NA	NA	map01100	Metabolic pathways	reaction
C03190	(+)-Bornyl diphosphate	NA	NA	NA	NA	NA	compound
R02004	geranyl-diphosphate diphosphate-lyase [cyclizing, (-)-endo-fenchol-forming]	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C02344	(-)-endo-Fenchol	NA	NA	NA	NA	NA	compound
R02003	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase	NA	M00364	C10-C20 isoprenoid biosynthesis, bacteria	map01100	Metabolic pathways	reaction
C00129	Isopentenyl diphosphate	NA	NA	NA	NA	NA	compound
C00448	trans,trans-Farnesyl diphosphate	NA	NA	NA	NA	NA	compound
R02000	rubredoxin:NAD+ oxidoreductase	NA	NA	NA	map00071	Fatty acid degradation	reaction
C00340	Reduced rubredoxin	NA	NA	NA	NA	NA	compound
C00435	Oxidized rubredoxin	NA	NA	NA	NA	NA	compound
R02009	geranyldiphosphate diphosphate-lyase (myrcene-forming)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C06074	Myrcene	NA	NA	NA	NA	NA	compound
R10742	epithienamycin-E,2-oxoglutarate:oxygen oxidoreductase (sulfoxidation)	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00011	CO2	NA	NA	NA	NA	NA	compound
C00042	Succinate	Organic acids	NA	NA	NA	NA	compound
C11755	Epithienamycin E	NA	NA	NA	NA	NA	compound
C20815	MM 4550	NA	NA	NA	NA	NA	compound
R10216	5-Hydroxymethyl-2-furaldehyde + H2O + Oxygen <=> 5-Hydroxymethyl-2-furoate + Hydrogen peroxide	NA	NA	NA	NA	NA	reaction
C00027	Hydrogen peroxide	NA	NA	NA	NA	NA	compound
C11101	5-Hydroxymethyl-2-furaldehyde	NA	NA	NA	NA	NA	compound
C20448	5-Hydroxymethyl-2-furoate	NA	NA	NA	NA	NA	compound
R10210	2-Oxoglutaryl-CoA + H2O <=> 2-Oxoglutarate + CoA	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C20447	2-Oxoglutaryl-CoA	NA	NA	NA	NA	NA	compound
R10212	Furfural + H2O + Oxygen <=> 2-Furoate + Hydrogen peroxide	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C01546	2-Furoate	NA	NA	NA	NA	NA	compound
C14279	Furfural	NA	NA	NA	NA	NA	compound
R10745	acetyl-CoA:thienamycin N-acetyltransferase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00024	Acetyl-CoA	NA	NA	NA	NA	NA	compound
C06664	Thienamycin	Antibiotics	NA	NA	NA	NA	compound
C17377	N-Acetylthienamycin	NA	NA	NA	NA	NA	compound
R10748	pantetheine-4'-phosphate phosphohydrolase	NA	NA	NA	map01130	Biosynthesis of antibiotics	reaction
C00831	Pantetheine	NA	NA	NA	NA	NA	compound
C01134	Pantetheine 4'-phosphate	NA	NA	NA	NA	NA	compound
R10219	acetyl-CoA decarbonylase / synthase (ACDS)	NA	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA	NA	NA	reaction
C00237	CO	NA	NA	NA	NA	NA	compound
C18799	5-Methyl-H4SPT	NA	NA	NA	NA	NA	compound
C18802	Tetrahydrosarcinapterin	NA	NA	NA	NA	NA	compound
R05588	Benzylsuccinate + Succinyl-CoA <=> Benzylsuccinyl-CoA + Succinate	NA	M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	map01100	Metabolic pathways	reaction
C00091	Succinyl-CoA	NA	NA	NA	NA	NA	compound
C09816	Benzylsuccinate	NA	NA	NA	NA	NA	compound
C09817	Benzylsuccinyl-CoA	NA	NA	NA	NA	NA	compound
R05586	3-Oxopimeloyl-CoA + CoA <=> Glutaryl-CoA + Acetyl-CoA	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C00527	Glutaryl-CoA	NA	NA	NA	NA	NA	compound
C06715	3-Oxopimeloyl-CoA	NA	NA	NA	NA	NA	compound
R05587	Benzoylsuccinyl-CoA + CoA <=> Benzoyl-CoA + Succinyl-CoA	NA	M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	map01100	Metabolic pathways	reaction
C00512	Benzoyl-CoA	NA	NA	NA	NA	NA	compound
C09820	Benzoylsuccinyl-CoA	NA	NA	NA	NA	NA	compound
C04253	Electron-transferring flavoprotein	NA	NA	NA	NA	NA	compound
R05584	(R)-benzylsuccinyl-CoA:electron transfer flavoprotein oxidoreductase	NA	M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	map01100	Metabolic pathways	reaction
C04570	Reduced electron-transferring flavoprotein	NA	NA	NA	NA	NA	compound
C09818	E-Phenylitaconyl-CoA	NA	NA	NA	NA	NA	compound
R05582	2-Hydroxycyclohexane-1-carboxyl-CoA + NAD+ <=> 2-Ketocyclohexane-1-carboxyl-CoA + NADH + H+	NA	M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	map01120	Microbial metabolism in diverse environments	reaction
C09812	2-Hydroxycyclohexane-1-carboxyl-CoA	NA	NA	NA	NA	NA	compound
C09813	2-Ketocyclohexane-1-carboxyl-CoA	NA	NA	NA	NA	NA	compound
R05581	6-hydroxycyclohex-1-ene-1-carbonyl-CoA:NAD+ 6-oxidoreductase	NA	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	map01100	Metabolic pathways	reaction
C06749	6-Hydroxycyclohex-1-ene-1-carbonyl-CoA	NA	NA	NA	NA	NA	compound
C09821	6-Oxocyclohex-1-ene-1-carbonyl-CoA	NA	NA	NA	NA	NA	compound
R06859	2-Phytyl-1,4-naphthoquinone + S-Adenosyl-L-methionine <=> Phylloquinone + S-Adenosyl-L-homocysteine	NA	NA	NA	map01100	Metabolic pathways	reaction
C02059	Phylloquinone	Vitamins and Cofactors	NA	NA	NA	NA	compound
C13309	2-Phytyl-1,4-naphthoquinone	NA	NA	NA	NA	NA	compound
R06858	1,4-Dihydroxy-2-naphthoate + Phytyl diphosphate <=> 2-Phytyl-1,4-naphthoquinone + CO2 + Diphosphate	NA	NA	NA	map01100	Metabolic pathways	reaction
C03657	1,4-Dihydroxy-2-naphthoate	NA	NA	NA	NA	NA	compound
C05427	Phytyl diphosphate	NA	NA	NA	NA	NA	compound
C00072	Ascorbate	Vitamins and Cofactors	NA	NA	NA	NA	compound
R00640	L-Galactono-1,4-lactone:ferricytochrome-c oxidoreductase	NA	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	map01100	Metabolic pathways	reaction
C00125	Ferricytochrome c	NA	NA	NA	NA	NA	compound
C00126	Ferrocytochrome c	NA	NA	NA	NA	NA	compound
C01115	L-Galactono-1,4-lactone	NA	NA	NA	NA	NA	compound
R06857	cis-1,2-dihydrobenzene-1,2-diol:NAD+ oxidoreductase	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C05618	3-Chlorocatechol	NA	NA	NA	NA	NA	compound
C12837	3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene	NA	NA	NA	NA	NA	compound
R06856	Chlorobenzene + Oxygen + NADH + H+ <=> 3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+	NA	NA	NA	map01120	Microbial metabolism in diverse environments	reaction
C06990	Chlorobenzene	NA	NA	NA	NA	NA	compound
R04989	2-Octaprenyl-6-methoxyphenol + Oxygen + NADPH <=> 2-Octaprenyl-6-methoxy-1,4-benzoquinone + NADP+ + H2O	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C00005	NADPH	NA	NA	NA	NA	NA	compound
C00006	NADP+	Vitamins and Cofactors	NA	NA	NA	NA	compound
C05812	2-Octaprenyl-6-methoxyphenol	NA	NA	NA	NA	NA	compound
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone	NA	NA	NA	NA	NA	compound
R04988	S-adenosyl-L-methionine:3-(all-trans-octaprenyl)benzene-1,2-diol 2-O-methyltransferase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C05811	2-Octaprenyl-6-hydroxyphenol	NA	NA	NA	NA	NA	compound
R04985	4-hydroxy-3-polyprenylbenzoate carboxy-lyase	NA	M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	map01100	Metabolic pathways	reaction
C05807	2-Polyprenylphenol	NA	NA	NA	NA	NA	compound
C05848	4-Hydroxy-3-polyprenylbenzoate	NA	NA	NA	NA	NA	compound
R04984	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone,acceptor:oxygen oxidoreductase (5-hydroxylating)	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C00028	Acceptor	NA	NA	NA	NA	NA	compound
C00030	Reduced acceptor	NA	NA	NA	NA	NA	compound
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	NA	NA	NA	NA	NA	compound
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	NA	NA	NA	NA	NA	compound
R04987	2-Octaprenylphenol + Oxygen + NADPH + H+ <=> 2-Octaprenyl-6-hydroxyphenol + NADP+ + H2O	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C05810	2-Octaprenylphenol	NA	NA	NA	NA	NA	compound
R04986	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C05809	3-Octaprenyl-4-hydroxybenzoate	NA	NA	NA	NA	NA	compound
R04983	2-Hexaprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C05803	2-Hexaprenyl-6-methoxy-1,4-benzoquinone	NA	NA	NA	NA	NA	compound
R04982	2-Hexaprenyl-6-methoxyphenol + Oxygen <=> 2-Hexaprenyl-6-methoxy-1,4-benzoquinone + H2O	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C05802	2-Hexaprenyl-6-methoxyphenol	NA	NA	NA	NA	NA	compound
R05501	Trichloroethene + 2 H+ <=> cis-1,2-Dichloroethene + Hydrochloric acid	NA	NA	NA	map01100	Metabolic pathways	reaction
C01327	Hydrochloric acid	NA	NA	NA	NA	NA	compound
C06790	Trichloroethene	NA	NA	NA	NA	NA	compound
C06792	cis-1,2-Dichloroethene	NA	NA	NA	NA	NA	compound
R04187	L-Alanine:3-oxopropanoate aminotransferase	NA	NA	NA	map00280	Valine, leucine and isoleucine degradation	reaction
C00041	L-Alanine	Peptides	NA	NA	NA	NA	compound
C03284	L-3-Aminoisobutanoate	NA	NA	NA	NA	NA	compound
C06002	(S)-Methylmalonate semialdehyde	NA	NA	NA	NA	NA	compound
R04189	N2-succinyl-L-arginine iminohydrolase (decarboxylating)	NA	NA	NA	map01100	Metabolic pathways	reaction
C03296	N2-Succinyl-L-arginine	NA	NA	NA	NA	NA	compound
C03415	N2-Succinyl-L-ornithine	NA	NA	NA	NA	NA	compound
R04188	L-3-amino-isobutanoate:2-oxoglutarate aminotransferase	NA	NA	NA	map00280	Valine, leucine and isoleucine degradation	reaction
R11165	S-adenosyl-L-methionine:2-[(3S)-3-carboxy-3-aminopropyl]-L-histidine-[translation elongation factor 2] methyltransferase (diphthine methyl ester-[translation elongation factor 2]-forming)	NA	NA	NA	NA	NA	reaction
C04441	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine	NA	NA	NA	NA	NA	compound
C21151	Peptide diphthine methyl ester	NA	NA	NA	NA	NA	compound
R11166	diphthine methyl ester acylhydrolase	NA	NA	NA	NA	NA	reaction
C00132	Methanol	NA	NA	NA	NA	NA	compound
C01573	Peptide diphthine	NA	NA	NA	NA	NA	compound
C00615	Protein histidine	NA	NA	NA	NA	NA	compound
R11169	protein-Npi-phospho-L-histidine:2-O-alpha-mannopyranosyl-D-glycerate 6'-O-phosphotransferase	NA	NA	NA	NA	NA	reaction
C04261	Protein N(pi)-phospho-L-histidine	NA	NA	NA	NA	NA	compound
C11544	2-O-(alpha-D-Mannosyl)-D-glycerate	NA	NA	NA	NA	NA	compound
C16699	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	NA	NA	NA	NA	NA	compound
R11168	carbon-monoxide:quinone oxidoreductase	NA	NA	NA	NA	NA	reaction
C15602	Quinone	NA	NA	NA	NA	NA	compound
C15603	Hydroquinone	NA	NA	NA	NA	NA	compound
R03511	phylloquinone:oxidized-dithiothreitol oxidoreductase	NA	NA	NA	map01110	Biosynthesis of secondary metabolites	reaction
C00265	Dithiothreitol	NA	NA	NA	NA	NA	compound
C01119	Oxidized dithiothreitol	NA	NA	NA	NA	NA	compound
C05849	Vitamin K1 epoxide	NA	NA	NA	NA	NA	compound
R07522	lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)	NA	NA	NA	map01100	Metabolic pathways	reaction
C15877	Anhydrorhodovibrin	NA	NA	NA	NA	NA	compound
C15878	Rhodovibrin	NA	NA	NA	NA	NA	compound
C00363	dTDP	Nucleic acids	NA	NA	NA	NA	compound
R11422	dTDP-3'-O-methyl-beta-L-rhamnose:calicheamicin-alpha1(I) 3'-O-methyl-beta-L-rhamnosyltransferase	NA	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01130	Biosynthesis of antibiotics	reaction
C11469	Calicheamicin gamma(1)I	NA	NA	NA	NA	NA	compound
C21341	Calicheamicin alpha1(I)	NA	NA	NA	NA	NA	compound
C21350	dTDP-3-O-methyl-beta-L-rhamnose	NA	NA	NA	NA	NA	compound
R07520	1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase	NA	NA	NA	map01100	Metabolic pathways	reaction
C15874	3,4-Dehydrorhodopin	NA	NA	NA	NA	NA	compound
C19795	1-Hydroxy-1,2-dihydrolycopene	NA	NA	NA	NA	NA	compound
R07521	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
R07526	2-oxospirilloxanthin,reduced-ferredoxin:oxygen oxidoreductase (2-oxospirilloxanthin-2-one-forming)	NA	NA	NA	map01100	Metabolic pathways	reaction
C00138	Reduced ferredoxin	NA	NA	NA	NA	NA	compound
C00139	Oxidized ferredoxin	NA	NA	NA	NA	NA	compound
C15884	2-Ketospirilloxanthin	NA	NA	NA	NA	NA	compound
C15885	2,2'-Diketospirilloxanthin	NA	NA	NA	NA	NA	compound
R07527	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C15886	3,4-Dihydroanhydrorhodovibrin	NA	NA	NA	NA	NA	compound
R07524	S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase	NA	NA	NA	map01100	Metabolic pathways	reaction
C15879	Hydroxyspirilloxanthin	NA	NA	NA	NA	NA	compound
C15881	Spirilloxanthin	NA	NA	NA	NA	NA	compound
